iter	Logloss
0	0.66812866
1	0.6339878709
2	0.5978195212
3	0.5685156742
4	0.5415092124
5	0.5240287134
6	0.5087680147
7	0.4902393561
8	0.4681114548
9	0.4501281741
10	0.4276456871
11	0.4170195213
12	0.4034051604
13	0.3935164623
14	0.3792651528
15	0.3714910161
16	0.3668571335
17	0.3552928742
18	0.3457941962
19	0.3369773707
20	0.3281180421
21	0.3173586773
22	0.3125423935
23	0.3064289216
24	0.297699502
25	0.2929060329
26	0.2872840045
27	0.2824170892
28	0.2781179947
29	0.2719283476
30	0.2666771395
31	0.2617340104
32	0.2580171334
33	0.2520290984
34	0.2490185694
35	0.2456175346
36	0.2407284234
37	0.2355294434
38	0.2317400315
39	0.2296590972
40	0.2259762292
41	0.2217740156
42	0.2184075906
43	0.2149118461
44	0.2110683615
45	0.2073605844
46	0.2052808918
47	0.2016927096
48	0.1986761436
49	0.1956768825
50	0.1932393042
51	0.191454822
52	0.1899011798
53	0.1874472327
54	0.1860105419
55	0.1830788837
56	0.1805110491
57	0.1793869942
58	0.1769527924
59	0.1746684308
60	0.1727712323
61	0.1714451447
62	0.1698678802
63	0.1673180378
64	0.1662369818
65	0.1641704847
66	0.1625463224
67	0.160247111
68	0.1584199295
69	0.1568484891
70	0.1559169711
71	0.1550484788
72	0.1530690723
73	0.1514901871
74	0.149997263
75	0.1489504766
76	0.1478641534
77	0.1469445918
78	0.1460340991
79	0.1447401859
80	0.1434392778
81	0.1414948599
82	0.1403850327
83	0.1389590558
84	0.1376619715
85	0.1366317957
86	0.1355830602
87	0.1338064219
88	0.1328595535
89	0.1314332885
90	0.1307211668
91	0.1300323856
92	0.1287679317
93	0.1278704361
94	0.1265316736
95	0.1248719535
96	0.123321547
97	0.122385469
98	0.1212794139
99	0.1204403
100	0.1193789091
101	0.1183815178
102	0.1178405868
103	0.1172945827
104	0.1161494424
105	0.1150957944
106	0.1134849533
107	0.1127013998
108	0.1122881675
109	0.1108954075
110	0.1102187611
111	0.1091732568
112	0.1085760465
113	0.1080843247
114	0.1072914465
115	0.1062676774
116	0.1053367374
117	0.1047227424
118	0.1042240446
119	0.1036507702
120	0.1028551739
121	0.1024277525
122	0.1010910696
123	0.1003234761
124	0.09959424214
125	0.0989765261
126	0.09800272684
127	0.0973098707
128	0.09645335048
129	0.09510638464
130	0.09420213974
131	0.09356198137
132	0.09316122374
133	0.09284873992
134	0.09198902774
135	0.09128769886
136	0.09057802541
137	0.08983540929
138	0.08920506812
139	0.08866127607
140	0.08791499997
141	0.08722210375
142	0.08635570369
143	0.0857814936
144	0.08495567544
145	0.08417381886
146	0.08339014287
147	0.08290160035
148	0.08207359186
149	0.08156417806
150	0.08111999359
151	0.08045317438
152	0.07962565316
153	0.07906118382
154	0.07870422376
155	0.07817816134
156	0.07717601819
157	0.07625526746
158	0.07592789941
159	0.0749800051
160	0.07445768442
161	0.07381844258
162	0.07356611191
163	0.07302049316
164	0.07223552025
165	0.07209706429
166	0.07174281768
167	0.07125374356
168	0.07102554622
169	0.07039992095
170	0.07001302706
171	0.06964202854
172	0.06913592663
173	0.0687116927
174	0.06802126297
175	0.06748612457
176	0.0666511449
177	0.06619229954
178	0.06574168359
179	0.06529960297
180	0.06493425858
181	0.0642268509
182	0.06373052402
183	0.06342789361
184	0.06317789416
185	0.06245243537
186	0.06213980056
187	0.06148013105
188	0.0610433642
189	0.06060625324
190	0.06005851702
191	0.05933677716
192	0.05898627248
193	0.05860736398
194	0.0580360486
195	0.05766081041
196	0.05706729115
197	0.05648563265
198	0.05590603405
199	0.05560573828
200	0.05500084325
201	0.05475929354
202	0.05432178892
203	0.05378053662
204	0.05346239847
205	0.05321483806
206	0.0524710784
207	0.05200352205
208	0.05144791528
209	0.05087543176
210	0.05058776378
211	0.04988850896
212	0.04939176231
213	0.04908672186
214	0.04864452912
215	0.04825071724
216	0.04782911391
217	0.04750527787
218	0.04708284501
219	0.04665820942
220	0.04632120817
221	0.046203393
222	0.04601046208
223	0.04565141113
224	0.04535814798
225	0.04514438802
226	0.04480191775
227	0.0446778934
228	0.044420858
229	0.04423741249
230	0.04389828691
231	0.04363858348
232	0.04334789452
233	0.04314607866
234	0.04290519825
235	0.04268298048
236	0.04257144349
237	0.0422148794
238	0.04177275913
239	0.04155050641
240	0.04127939928
241	0.04111534738
242	0.04083693877
243	0.04063890923
244	0.04049472593
245	0.04039647104
246	0.04034708397
247	0.04007113109
248	0.03995586044
249	0.03970454123
250	0.03944557773
251	0.03915288459
252	0.03896057997
253	0.03873506948
254	0.03839304463
255	0.0381409451
256	0.03794176985
257	0.0378726567
258	0.03775338152
259	0.03761170944
260	0.0372843879
261	0.03715173487
262	0.03681501774
263	0.036592085
264	0.03634353746
265	0.03608958862
266	0.03598579953
267	0.03585695293
268	0.03568508273
269	0.03540081779
270	0.0351287278
271	0.03500078208
272	0.03472470726
273	0.03458801614
274	0.03438796861
275	0.03419032109
276	0.03395968051
277	0.03350060879
278	0.03334227741
279	0.03315457333
280	0.03299713414
281	0.03272749487
282	0.03247624372
283	0.03230034997
284	0.03215936072
285	0.03206380989
286	0.03177287654
287	0.031509208
288	0.03128707692
289	0.03101317339
290	0.03087514255
291	0.03065295376
292	0.03040346033
293	0.03026555476
294	0.02998122347
295	0.02975663362
296	0.02959591067
297	0.02944598216
298	0.02931115467
299	0.02918972909
